,input,target
15743,no .,how about california ?
15744,how about california ?,would they be good to eat ?
15745,and you ve got me all figured out ?,sure .
15746,you were supposed to be reading words .,i was doin both . here .
15747,oh sure .,let me do that .
15748,goodnight .,goodnight miss wells .
15749,goodnight miss wells .,if you need me i ll be
15750,i found a picture of his wife .,wife ? !
15751,i think he wants me .,ha ! right bitch !
15752,no i won t let you do it .,alex what are you doing ?
15753,hey brenda .,do i know you ?
15754,me too . ?,in room at ten o clock ?
15755,in room at ten o clock ?,that s it .
15756,my favorite memory was when we,would you die already ? !
15757,we already know each other . hey brenda .,hey cindy . your friend needs help .
15758,ouch ! !,brenda are you okay ? come sit .
15759,hello brenda .,hello ray .
15760,shhh . . . it s okay .,ray have you been here all this time ?
15761,i m fine . just a few bruises .,so i guess i can go now .
15762,so i guess i can go now .,no stay .
15763,no stay .,you sure ?
15764,he s right . i should go first .,he s so brave .
15765,ray run faster .,okay .
15766,hey you left your book back there .,thanks . i m cindy .
15767,so i see you re really into spooks .,no . i never date outside my race .
15768,no . i never date outside my race .,i meant you re into ghosts .
15769,yeah .,maybe we can study together or something .
15770,but hey maybe we can be friends .,sure that would be cool . friends .
15771,sure that would be cool . friends .,okay . see you later friend .
15772,hi buddy .,open chest ! ! !
15773,sure . we can practice talking .,okay .
15774,dude somebody s on the rag .,shhh !
15775,where the hell are we ?,it looks like the furnace .
15776,it looks like the furnace .,let s get outta here .
15777,he s here .,shit !
15778,can you feel that ?,no . try a little higher .
15779,cindy let me . . .,no buddy i m the one he wants .
15780,i know but i ve been thinking,i know but i ve been thinking
15781,i know but i ve been thinking,listen to me i
15782,listen to me i,listen to me i
15783,listen to me i,look what i m trying to say
15784,look what i m trying to say,look what i m trying to say
15785,hey wanna share a soda ?,oh buddy that s so romantic .
15786,oh buddy that s so romantic .,yeah . can i borrow five bucks ?
15787,what should we get ?,i don t care . you pick .
15788,i don t care . you pick .,hot dogs .
15789,are you okay ?,i think so .
15790,okay i get the point .,so whatever happened to her ?
15791,so whatever happened to her ?,she killed herself a week before he died .
15792,but he ll kill her !,that means more screen time for us .
15793,ummm ! ! they smell delicious .,thanks . i made them by hand .
15794,stop touching his brain !,um i m not touching anything .
15795,stop !,made you say it !
15796,this can t be happening ?,now you ll be mine cindy .
15797,noooo ! ! !,yes ! ! ! !
15798,what the hell are you doing ?,just wait you ll see .
15799,what are we gonna do ?,we have to destroy him .
15800,father !,my child you re alive !
15801,my child you re alive !,yes we made it !
15802,my child you are the only survivor .,no my friends are right here !
15803,huh ?,gear . you know clothing .
15804,gear . you know clothing .,oh .
15805,yo ! that jacket is tight .,yeah now go uhn uhn uhn !
15806,yeah now go uhn uhn uhn !,uhn ! uhn ! uhn !
15807,did you do that ?,uh uh .
15808,uh uh .,you better go get dwight and the professor .
15809,i m going to work in washington cindy .,are you ?
15810,i m telling you it was possessed .,theo did you see the animal ?
15811,i think she s starting to suspect something ?,who ?
15812,saw who ? !,don t touch me ! !
15813,i finished all the interviews .,let me see the files .
15814,in about fifteen minutes .,remember dwight not a word to anyone .
15815,right . what about condoms ?,professor !
15816,would you please focus ?,fine . what s all this stuff ?
15817,yes i thought that it would be best .,even in the bathroom ?
15818,the image there .,are you sure it s not the tape ?
15819,professor we need to talk .,what is it dwight ?
15820,hello dwight .,hi .
15821,what are you working on ?,just a little experiment .
15822,and sexy .,of course . so sexy .
15823,that s right .,what if i wanted to borrow those keys ?
15824,what if i wanted to borrow those keys ?,oh i couldn t do that .
15825,she s right . we should stick together .,alright . come on you guys .
15826,you re not wearing a belt .,alright go to the belt store . . .
15827,you mean to tell me we re dead !,i guess so .
15828,it s okay . i understand .,how is she ?
15829,would you like to see the girl ?,soon . first i must bless this house .
15830,yes .,then let us prepare .
15831,remember don t ask her too many questions .,because she will lie ?
15832,oh shit you gonna take that ?,what ?
15833,what ?,what she said about your mother ?
15834,no thanks .,my holy water .
15835,father i think you should rest .,no i m fine .
15836,sit down and join us cindy .,yeah i always wanted to watch you eat .
15837,yo son check this out .,dog you look hot .
15838,sorry y all . my bad .,shorty why don t you say grace ?
15839,shorty why don t you say grace ?,me ? grace ? okay dear god
15840,i woke up naked too .,hey dude you got a tattoo .
15841,hey dude you got a tattoo .,what does it say ?
15842,what does it say ?,it says ray .
15843,it says ray .,sweet . hey you got a tattoo too .
15844,sweet . hey you got a tattoo too .,get out ? ! what does it say ?
15845,get out ? ! what does it say ?,fucked me .
15846,fucked me .,aww . cool . dude .
15847,ray !,fucked me .
15848,fucked me .,ray !
15849,ray !,fucked me .
15850,hi mom .,hi mrs . sutphin .
15851,bye mrs sutphin .,bye bird brain . see ya scotty .
15852,did you hear ?,what happened ?
15853,mrs . sutphin ?,mother ?
15854,mother ?,h shit !
15855,h shit !,you don t think . . .
15856,you don t think . . .,she wouldn t . . .
15857,here we go again .,he s really cute !
15858,carl s a jerk !,he certainly drives like a jerk .
15859,no comment !,serial mom ? wow !
15860,sorry ma am .,do you have the musical annie ?
15861,why ?,because it s the rules !
15862,chip honey ?,thanks mom .
15863,oh god really ! this is the limit !,let me see !
15864,chip ! !,god mom ! what s the matter ?
15865,in here mom . . .,but chip . . .
15866,get in mom ! i have to open .,this is so silly .
15867,she s gonna kill scotty !,both of you ! get in the car !
15868,goodnight honey .,don t i get a kiss ?
15869,we can be real quiet . . .,i love that you re my wife .
15870,hello .,is this the cocksucker residence ?
15871,is this the cocksucker residence ?,goddamn you ! stop calling here !
15872,goddamn you ! stop calling here !,isn t this pussy way ?
15873,isn t this pussy way ?,you bitch !
15874,you bitch !,let me check the zip fuck you ?
15875,fuck you too you rotten whore ! !,i beg your pardon ?
15876,i beg your pardon ?,who is this ?
15877,listen to your dirty mouth you fucking whore !,goddamn you !
15878,motherfucker ! !,cocksucker !
15879,who wants fruit salad ?,i do please .
15880,he killed people mom .,we all have bad nights .
15881,mrs . . . sutphin ?,right here !
15882,he s a good boy .,there is one big problem though .
15883,man that one made me puke !,you forgot something . . .
15884,you forgot something . . .,are we leaving ?
15885,are we leaving ?,yes you are .
15886,murder honey .,now here s a babe !
15887,what s he know ?,how to send a bill ! !
15888,yes ma am it is .,i ll give you fifty cents .
15889,why would mrs . redi lie to me ?,that s what i tried to find out .
15890,you think my sister is there ?,you can t tell .
15891,you can t tell .,can we go there now ?
15892,i don t like this .,which room is it ?
15893,you scared ?,yes .
15894,yes .,let s get out of here .
15895,let s get out of here .,no .
15896,i d like to get out of here .,no .
15897,we can t stand here all night .,you could go and open the door .
15898,you could go and open the door .,listen
15899,yes i understand .,then you also understand that you must die .
15900,then you also understand that you must die .,no .
15901,drink .,no .
15902,are you dr . louis judd ?,yes .
15903,how much does she want ?,she could use a hundred dollars .
15904,she could use a hundred dollars .,i ll give you a check .
15905,i ll give you a check .,she can only use cash .
15906,i haven t got that much in cash .,how much have you got ?
15907,how much have you got ?,about forty five dollars .
15908,tell me how is jacqueline ?,oh as beautiful as ever .
15909,but tell me,she s nervous naturally under the circumstances .
15910,she s nervous naturally under the circumstances .,what circumstances ?
15911,why mary,hello frances .
15912,hello frances .,how s miss jacqueline ?
15913,is mrs . redi nice to work for ?,redi s all right .
15914,redi s all right .,she seems rather an odd woman to me .
15915,she seems rather an odd woman to me .,she s a pretty good sort .
15916,do you know what this is frances ?,i ought to know .
15917,i ought to know .,what is it ?
15918,what did she want ?,i did her hair .
15919,i did her hair .,what were you talking about ?
15920,what were you talking about ?,nothing .
15921,and that was all ?,no . she asked about the trademark .
15922,no . she asked about the trademark .,what did she want to know ?
15923,what did she want to know ?,she showed me a drawing .
15924,she showed me a drawing .,you
15925,some of us frances must believe without understanding .,yes .
15926,thank you . it was a lovely dinner .,good .
15927,the people at the restaurant ?,yes .
15928,good night jacqueline good night mary .,good night .
15929,do you think he knows about this ?,i don t know .
15930,let her know what ?,that you love mary .
15931,she ll have to know some time .,not from me .
15932,who are you ?,i m mimi i m dying .
15933,i m mimi i m dying .,no !
15934,i m tired of being afraid of waiting .,why wait ?
15935,and then ?,i don t know .
15936,i don t know .,you will die .
15937,you ll be all right ?,yes .
15938,at least you knew about dr . judd .,yes .
15939,yes .,and you knew he d be here .
15940,it s terribly sweet of you jason .,i have something even better .
15941,i have been at the library .,but you re always at the library .
15942,i have to go,but you re happy here you like your work
15943,and the other was judd ?,yes dr . louis judd .
15944,yes dr . louis judd .,it s here too .
15945,where is jacqueline gibson ?,what a peculiar question .
15946,following me to find jacqueline ?,uh huh .
